X_LF1,X_LF2,X_LF3,X_LF4,X_LF5,y_max_LF
3.18526542162742,2.11776589275659,3.27774437707484,1.33224191598212,1.98143467141013,15.6997171311883
1.24589380698721,4.67175461897843,1.96342475937491,1.97002308934617,3.019406738707,14.6213522463542
4.71110900190545,4.79173619807987,4.11716604392617,2.27151477647379,3.99654500053198,9.08254178504106
4.93290317906286,3.43240272783384,1.78446647137844,4.27744655195987,2.71057274962228,12.6184785531291
3.85373284001074,1.63849792373571,3.70312467917798,3.77409035961582,4.33005240594018,11.0458791952669
3.54532702075776,2.47011397565758,1.61018789477772,3.46503265425536,1.83244015795212,16.0507549963836
2.33182494557698,2.79296166681107,2.16985631786736,1.64836014887399,2.33761767725213,16.6421238045149
4.32326079676066,4.32958348413391,3.4625454248138,4.13311760628825,1.12950689740021,9.25415472478367
2.47508389708724,1.2983062692594,4.53299219286784,2.47832608359295,2.65254472035933,12.6330205986313
1.82234584915552,1.50069930467322,1.33433480754955,1.56856944506166,3.83262563898682,23.7367407399814
4.18947141077749,2.1495969797854,4.93191349219361,4.99205935396079,3.39633894212261,8.58227823822494
2.84286427296323,3.81783051312787,4.39280722160967,4.54654069230446,4.7455430310933,8.22707746121703
2.05711764149927,4.08450468399096,3.00327073264189,2.78999416674655,3.51469943736348,11.2246598309092
3.06971664247441,3.63978545945578,2.6244961842876,3.31522024330202,1.48987737771974,12.0171355169191
1.48795684598811,3.05288658658076,2.73248085036875,2.94477221810249,4.6175170226191,12.4893903075061
1.20974142987486,2.5945340270628,4.54545530270215,4.47525008081411,1.47347428850491,9.74622728244283
2.14905835024292,1.5677201928084,4.02355374616,3.34330091075751,1.11251100617478,12.4133137119539
4.47782140332121,4.16768604644333,4.35782283944323,4.255604377487,4.00816943633866,7.94841496703182
3.68787107921107,1.47987764466921,4.05682375625344,3.73817749912023,4.5157319345474,10.8201226939121
2.62036562950428,2.07669558017398,3.79277742424333,1.9101241557207,3.01848237162938,13.1792809839701
1.4005063557334,3.0629927242127,3.51294247379147,3.88773394767236,4.61923733336429,10.4700348511728
3.26425153249475,2.84552488019861,2.47885511491364,2.38139280925537,1.87708024479912,14.1085399033136
1.77427749283222,1.90628028197053,2.73642450761218,2.14679475530654,3.11999116968821,15.4817611646097
1.83460893651447,3.76001739912821,3.75252449686105,1.34851511292722,3.95752698496574,12.3874729837626
2.94097408171999,3.93625874055422,2.58333487247072,2.51770435784521,3.07897422363942,12.2248663206068
2.0526690805261,3.9802669373927,4.27801766532142,3.59334851332145,4.28722700670333,8.95802987693302
4.44638654341391,2.52264200215049,4.98396111725215,3.10182268704455,2.15646261372542,9.61788465487275
2.89346022656225,4.36579992821675,1.36194347271619,4.87359286796491,1.99773819586978,14.0613475961131
2.33809366474239,1.53982410123494,4.91775945676158,3.27258301655117,4.4912838880067,10.4919397679057
4.07216960504734,4.89736360189553,2.00894904464095,2.41935439591244,2.24054918916574,12.8914616253203
4.3238380778565,2.84352317287131,2.89298308091009,4.92528966148998,4.71482872048603,10.0693307191477
4.23937157363716,3.85931758397032,1.9674102023144,4.86045059004883,2.39827208023379,11.6376398411017
2.77324955245523,3.12162165416712,2.26759725111599,2.20879049031402,2.92009442468767,14.3347171965388
4.96751915848369,2.71658209551493,3.27348591619282,3.48996329935099,2.8430953688238,10.64808078122
3.22417667889864,4.08154240026373,3.04962726207639,2.79329553824524,3.88143019961847,10.7008572703184
